Variable,Option,autorecon-all,autorecon1,autorecon2,autorecon3,autorecon2-synthseg,autorecon2-volonly,autorecon2-surfsonly,autorecon2-inflate1,autorecon2-cp,autorecon2-fill,autorecon-bfs,autorecon3-T2pial
DoShowEdits,-show-edits,0,0,0,0,0,0,0,0,0,0,0,0
DoAddTp,-addtp,0,0,0,0,0,0,0,0,0,0,0,0
DoCreateBaseInput,-base-init,1,1,1,1,1,1,1,1,1,1,1,1
DoConvertInput,-i,0,0,0,0,0,0,0,0,0,0,0,0
DoConvertT2Input,-T2,0,0,0,0,0,0,0,0,0,0,0,0
DoConvertFlairInput,-FLAIR,0,0,0,0,0,0,0,0,0,0,0,0
DoSuperClean,-superclean,0,0,0,0,0,0,0,0,0,0,0,0
DoCleanSeed,-clean-seed,0,0,0,0,0,0,0,0,0,0,0,0
DoCleanCW256,-clean-cw256,0,0,0,0,0,0,0,0,0,0,0,0
DoCleanTal,-clean-tal,0,0,0,0,0,0,0,0,0,0,0,0
DoCleanLta,-clean-lta,0,0,0,0,0,0,0,0,0,0,0,0
DoCleanPFH,-clean-pfh,0,0,0,0,0,0,0,0,0,0,0,0
DoCleanBM,-clean-bm,0,0,0,0,0,0,0,0,0,0,0,0
DoCleanASeg,-clean-aseg,0,0,0,0,0,0,0,0,0,0,0,0
DoCleanWM,-clean-wm,0,0,0,0,0,0,0,0,0,0,0,0
DoCleanFilled,-clean-filled,0,0,0,0,0,0,0,0,0,0,0,0
DoCleanCP,-clean-cp,0,0,0,0,0,0,0,0,0,0,0,0
DoCleanTWM,-clean-twm,0,0,0,0,0,0,0,0,0,0,0,0
DoCleanBFSE,-clean-bfse,0,0,0,0,0,0,0,0,0,0,0,0
DoCleanXopts,-clean-xopts,0,0,0,0,0,0,0,0,0,0,0,0
DoCleanT2,-clean-T2,0,0,0,0,0,0,0,0,0,0,0,0
DoCleanFLAIR,-clean-FLAIR,0,0,0,0,0,0,0,0,0,0,0,0
DoConformWidth256,-cw256,0,0,0,0,0,0,0,0,0,0,0,0
DoMotionCor,-motioncor,2,2,0,0,0,0,0,0,0,0,0,0
DoDeface,-deface,0,0,0,0,0,0,0,0,0,0,0,0
DoTalairach,-talairach,3,3,0,0,0,0,0,0,0,0,0,0
DoTalCheck,-talcheck,4,4,0,0,0,0,0,0,0,0,0,0
DoNuIntensityCor,-nuintensitycor,5,5,0,0,0,0,0,0,0,0,0,0
DoNormalization,-normalization,6,6,0,0,0,0,0,0,0,0,0,0
DoSkullStrip,-skullstrip,7,7,0,0,0,0,0,0,0,0,0,0
DoGCAReg,-gcareg,8,0,2,0,0,1,0,1,0,0,0,0
DoCANormalize,-canorm,9,0,3,0,0,2,0,2,0,0,0,0
DoCAReg,-careg,10,0,4,0,0,3,0,3,0,0,0,0
DoRemoveNeck,-rmneck,0,0,0,0,0,0,0,0,0,0,0,0
DoSkullLTA,-skull-lta,0,0,0,0,0,0,0,0,0,0,0,0
DoCALabel,-calabel,11,0,5,0,0,4,0,4,0,0,0,0
DoCCSeg,-ccseg,0,0,0,0,2,0,0,0,0,0,0,0
DoASegMerge,-asegmerge,0,0,0,0,3,0,0,0,0,0,0,0
DoNormalization2,-normalization2,12,0,6,0,4,0,0,0,1,1,1,0
DoMaskBFS,-maskbfs,13,0,7,0,5,0,0,0,0,2,2,0
DoSegmentation,-segmentation,14,0,8,0,6,0,0,0,2,3,0,0
DoFill,-fill,15,0,9,0,7,0,0,0,0,4,0,0
DoTessellate,-tessellate,16,0,10,0,8,0,1,1,0,5,0,0
DoSmooth1,-smooth1,17,0,11,0,9,0,2,2,0,6,0,0
DoInflate1,-inflate1,18,0,12,0,10,0,3,3,0,7,0,0
DoQSphere,-qsphere,19,0,13,0,11,0,4,0,0,8,0,0
DoFix,-fix,20,0,14,0,12,0,5,0,0,9,0,0
DoAutoDetGWStats,-autodetgwstats,21,0,15,0,13,0,6,0,0,10,3,0
DoWhitePreAparc,-white-preaparc,22,0,16,0,14,0,7,0,0,11,4,0
DoCortexLabel,-cortex-label,23,0,17,0,15,0,8,0,0,12,5,0
DoSmooth2,-smooth2,24,0,18,0,16,0,9,0,0,13,0,0
DoInflate2,-inflate2,25,0,19,0,17,0,10,0,0,14,0,0
